video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=wjyzJzIO7xA&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@telegraph,The Telegraph,Japan: Tsunami hits after series of powerful earthquakes,4.5M,3 weeks,Residents of seven Japanese regions have been urged to flee an oncoming tsunami after a series of powerful earthquakes struck ...,2024-01-23 20:17:03.661464
/watch?v=yAjN3xX1M-w&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@CNN,CNN,See massive waves after earthquake hits Japan,3.5M,3 weeks,Video shows massive waves hitting a sea wall after a 7.5 magnitude earthquake hit Japan. #CNN #News.,2024-01-23 20:17:03.663790
/watch?v=tGNyvtULBmM&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@CTVNews,CTV News,Video shows exact moment Japan hit by huge earthquakes,479K,2 weeks,New video from Japan shows the exact moment that the country was hit by a series of powerful earthquakes. Subscribe to CTV ...,2024-01-23 20:17:03.666555
/watch?v=sJ3I-89V9bc&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@NBCNews,NBC News,Drone video shows scale of Japan earthquake devastation,449K,2 weeks,Aerial footage from Wajima City on Japan's Noto Peninsula shows the destruction caused by a series of powerful earthquakes ...,2024-01-23 20:17:03.677574
/watch?v=xDB95630ytM&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@globalnews,Global News,"Global National: Jan. 1, 2024 | Powerful Japan earthquake kills at least 6, displaces thousands",778K,3 weeks,"A deadly 7.6-magnitude earthquake and dozens of aftershocks have rocked central Japan, trapping people under the rubble of ...",2024-01-23 20:17:03.696666
/watch?v=sg0Oqezmibk&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@NBCNews,NBC News,Videos show moments earthquakes struck Japan on New Year's Day,1M,3 weeks,Residents in shopping malls and train stations caught the moments when a series of earthquakes struck Japan on New Year's ...,2024-01-23 20:17:03.698989
/watch?v=LsAw7Lq7VI4&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@BBCNews,BBC News,Japan earthquake: Death toll climbs to 64 as rescuers race to survivors | BBC News,601K,2 weeks,Rescue efforts continue in Japan after at least 64 people were killed in a powerful earthquake that hit the country on New Year's ...,2024-01-23 20:17:03.705764
/watch?v=fl1wVw6BlrI&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@telegraph,The Telegraph,Japan earthquake: Buildings toppled as fires rip through residential areas,1.6M,3 weeks,Powerful aftershocks rocked central Japan on Tuesday morning as the death toll from a New Year's Day earthquake rose to 48.,2024-01-23 20:17:03.708988
/watch?v=w8KQjZaqqVs&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@BBCNews,BBC News,Tsunami warning in Japan after strong earthquake | BBC News,2.9M,3 weeks,Japan has issued a major tsunami warning after a 7.6 magnitude earthquake struck the central region. Residents in the coastal ...,2024-01-23 20:17:03.715324
/watch?v=7TBUOAQ12H8&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@SkyNews,Sky News,Japan earthquake: What we know so far,842K,3 weeks,"Major earthquakes have hit Japan, triggering a tsunami warning in the region. Local residents have been urged to evacuate, with ...",2024-01-23 20:17:03.725421
/watch?v=phOwMRy_Hek&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@BBCNews,BBC News,Japan earthquake: cameras reveal panic as tremors strike | BBC News,1.6M,3 weeks,A major search and rescue operation is underway in Japan after a powerful earthquake struck parts of the country. More than 100 ...,2024-01-23 20:17:03.728965
/watch?v=e3Dn7MJaMuI&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@CNN,CNN,7.5 magnitude earthquake hits West Japan,2.1M,3 weeks,"A 7.5 magnitude earthquake struck western Japan, according to the United States Geological Survey and the Japan ...",2024-01-23 20:17:03.735071
/watch?v=sCJoZcR-LSA&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@BBCNews,BBC News,Japan issues tsunami warning after strong earthquake - BBC News,1M,3 weeks,Japan has issued a major tsunami warning after a 7.6 magnitude earthquake struck the central region. Residents in the coastal ...,2024-01-23 20:17:03.739071
/watch?v=V8GrKSMlABk&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@Firstpost,Firstpost,First Tsunami Waves Hit Japan After 7.6 Magnitude Earthquake,7.9M,3 weeks,First Tsunami Waves Hit Japan After 7.6 Magnitude Earthquake Tsunami waves hit Japan's coasts after a series of powerful ...,2024-01-23 20:17:03.746535
/watch?v=-WlMwMrm1uo&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@NBCNews,NBC News,Video shows dramatic landslide during deadly Japanese earthquake,507K,2 weeks,Eyewitness video captured Wajima residents escaping from a landslide after a deadly earthquake struck the Japanese city on ...,2024-01-23 20:17:03.754230
/watch?v=m8pDQKvQ6BQ&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@cnnnews18,CNN-News18,Japan Earthquake 2024 Live |  Japan: Unbelievable Earthquake Visuals LIVE | Japan Earthquake Live,789K,Streamed 2 weeks,Japan Earthquake 2024 Live | Japan: Unbelievable Earthquake Visuals LIVE | Japan Earthquake Live Japanese rescuers battled ...,2024-01-23 20:17:03.757300
/watch?v=bKxzCTJlXqo&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@NHKWORLDJAPAN,NHK WORLD-JAPAN,Japan earthquake: Video footage of tsunami on January 1ーNHK WORLD-JAPAN NEWS,169K,2 weeks,This selection of video clips shows the tsunami on January 1. The videos were all taken by NHK viewers at about 4.30 pm on the ...,2024-01-23 20:17:03.764295
/watch?v=qi7zONJXUUE&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@NHKWORLDJAPAN,NHK WORLD-JAPAN,Japan earthquake: The destructive power of liquefactionーNHK WORLD-JAPAN NEWS,191K,13 days,Japan's New Year's Day earthquake destroyed areas well beyond the hardest hit regions close to the epicenter. NHK World's ...,2024-01-23 20:17:03.768487
/watch?v=5LfH4mgO-e0&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@businessstandard,Business Standard,Japan earthquake: Tsunami strikes after 7.6 magnitude quake,795K,3 weeks,"A significant 7.6 magnitude earthquake hit central Japan on Monday, triggering a tsunami warning and advisories for residents to ...",2024-01-23 20:17:03.776539
/watch?v=0j7LlAgmtqI&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@CBCNews,CBC News,Japan issues tsunami warning after major earthquakes,157K,3 weeks,Japan has issued tsunami alerts and told people to evacuate seaside areas after a series of strong quakes on its western ...,2024-01-23 20:17:03.783203
/watch?v=7-uDMVl9Hlk&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@CBSNews,CBS News,Aftershocks continue in Japan after deadly New Year's Day earthquakes,266K,3 weeks,At least 48 people have been killed by a powerful set of earthquakes that rocked western Japan Monday. CBS News senior ...,2024-01-23 20:17:10.933433
/watch?v=ky6Ck1BSMX8&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@SkyNews,Sky News,Japan earthquake: What's happening and how dangerous is it?,483K,3 weeks,"Japan has been hit by more than 80 earthquakes, with tsunami warnings issued for several areas along the west coast. Residents ...",2024-01-23 20:17:10.936203
/watch?v=3vAgOxDJzgY&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@cnnnews18,CNN-News18,Japan Earthquake 2024 Live | Japan Tsunami Live News | Japan Earthquake Live | Japan News Live,7.1M,Streamed 3 weeks,Japan Earthquake 2024 Live | Japan Tsunami Live News | Japan Earthquake Live | Japan News Live Earthquake with a ...,2024-01-23 20:17:10.938322
/watch?v=l9djmG_VZ2E&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@amitsengupta01,Amit Sengupta,"Japan Earthquake Tsunami 2024 Explained | Why, how it Happened | Japan’s Geography, Geology",87K,3 weeks,"In this video, we'll learn about Japan's Earthquake Tsunami that occured on 1st January 2024. Why, How it happened. We will ...",2024-01-23 20:17:10.941822
/watch?v=sykZSspIDnE&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@ABCNewsIndepth,ABC News In-depth,The aftermath of Japan’s New Year’s Day earthquake | 7.30,173K,2 weeks,"On New Year's Day an enormous earthquake hit Japan. The epicentre was on the country's west coast, initially prompting fears of ...",2024-01-23 20:17:10.943771
/watch?v=urK6RWcvBOI&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@cnnnews18,CNN-News18,"Japan Earthquake 2024 | 48 Dead, Several Feared Trapped As 155 Earthquakes Hit Japan In A Day | N18V",129K,3 weeks,"At least 48 people are confirmed dead following a major earthquake in Japan, a local official said. The official in Ishikawa ...",2024-01-23 20:17:10.947439
/watch?v=5cyhME7Wtas&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@NEWS9LIVE,NEWS9 Live,Eyewitness: Video Captures Moment Magnitude 7 6 Quake Jolts Central #japan #earthquake | News9,2.8M,3 weeks,Video Captures Moment Magnitude 7.6 Quake Jolts Central Japan #japan #tokyo #kanazawa #ishikawa #earthquake #japan ...,2024-01-23 20:17:10.950737
/watch?v=w3C25oYoToA&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@cnnnews18,CNN-News18,Japan Earthquake 2024 Live | Unseen Visuals Of Japan Earthquake LIVE | apan Earthquake News LIVE,743K,Streamed 3 weeks,Japan Earthquake 2024 Live | Unseen Visuals Of Japan Earthquake LIVE | apan Earthquake News LIVE Tens of thousands of ...,2024-01-23 20:17:10.953836
/watch?v=CI4BAngsRWA&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@SkyNews,Sky News,Japan issues tsunami warning after earthquakes,182K,3 weeks,Japan has issued a tsunami alert and further earthquake warnings after a series of strong earthquakes hit its north-central region.,2024-01-23 20:17:10.956941
/watch?v=ZyGQUP_rKo4&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@cnnnews18,CNN-News18,Japan Earthquake 2024 | Japan Earthquake Death toll Rises | Earthquake In Japan | N18V | News18,290K,3 weeks,Japan Earthquake 2024 | Japan Earthquake Death toll Rises | Earthquake In Japan | N18V | News18 Massive earthquake jolts ...,2024-01-23 20:17:10.961709
/watch?v=a5v4EZ5LuGw&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@Channel4News,Channel 4 News,Japan earthquake triggers tsunami warning,515K,3 weeks,"A magnitude 7.6 earthquake and dozens of aftershocks have struck the Western edge of Japan, sparking tsunami warnings for ...",2024-01-23 20:17:10.964807
/watch?v=mApkLc7PAXE&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@cnnnews18,CNN-News18,Japan earthquake 2024 | Japan Still Reeling From 155 Earthquakes | World News | N18v | News18,212K,2 weeks,Japan earthquake 2024 | Japan Still Reeling From 155 Earthquakes | World News | N18v | News18 Japan earthquake 2024 ...,2024-01-23 20:17:10.968362
/watch?v=_ldKAPqDf50&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@SkyNewsAustralia,Sky News Australia,Horror footage emerges of 7.6 magnitude earthquake hitting Japan,373K,3 weeks,A 7.6 magnitude earthquake has struck Japan on the first day of 2024. There are reports at least six people have died as a result ...,2024-01-23 20:17:10.972152
/watch?v=yNZsgBGY19g&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@globalnews,Global News,Japan earthquake: Coastal residents ordered to evacuate amid tsunami warnings,281K,3 weeks,"A powerful 7.6 magnitude earthquake struck central Japan on Monday, killing at least one person, destroying buildings and roads, ...",2024-01-23 20:17:10.974017
/watch?v=zBQQydSsODc&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@indiatoday,India Today,2024 Sea Of Japan Earthquake: Why Japan Is Prone To Earthquakes And Tsunamis | NewsMo,210K,3 weeks,A 7.6-magnitude earthquake shook Japan's north-central region of Noto. The quake has triggered tsunami waves and people ...,2024-01-23 20:17:10.975846
/watch?v=mADi2h18nHY&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@11Alive,11Alive,Japan tsunami waves after earthquake | Raw video,735K,3 weeks,"Video via CNN Newsource/TV Asahi. A series of quakes hit off the coast of Ishika in Japan, with one even reaching a 7.6 ...",2024-01-23 20:17:10.978454
/watch?v=pWo43kVQ5XE&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@cnnnews18,CNN-News18,Japan Earthquake 2024 | Japan Races To Rescue Trapped Quake Victims | Asia News | N18V | News18,23K,2 weeks,Japan Earthquake 2024 | Japan Races To Rescue Trapped Quake Victims | Asia News | N18V | News18 In the Japanese city of ...,2024-01-23 20:17:10.981138
/watch?v=mRBD0GA_HFQ&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@10NewsFirst,10 News First,#Breaking: 7.6 Magnitude Earthquake Hits Japan Triggering Major Tsunami Warnings | 10 News First,606K,3 weeks,10 News First is based in Australia and is a division of Paramount.,2024-01-23 20:17:10.984257
/watch?v=EIuxz-zTGjk&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@cnnnews18,CNN-News18,Japan Earthquake Live | Japan Earthquake Live Footage | Japan Tsunami Live | Japan News Live,2.2M,Streamed 3 weeks,Japan Earthquake Live | Japan Earthquake Live Footage | Japan Tsunami Live | Japan News Live A powerful earthquake hit the ...,2024-01-23 20:17:10.987816
/watch?v=QzqVoT0pU0g&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@indiatoday,India Today,Japan Earthquake: Why Death Toll Is Low Despite Extreme & Devastating Earthquakes; Explained,429K,2 weeks,Why does Japan experience so many devastating earthquakes? How have the Japanese ensured that almost no-one dies in ...,2024-01-23 20:17:10.990803
/watch?v=lWoxjtTztQI&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@NHKWORLDJAPAN,NHK WORLD-JAPAN,Japan earthquake updates: Progress amidst uncertainty in Noto Peninsula,11K,4 days,"Some areas of quake-hit Noto are seeing water service restored, but uncertainty remains. Experts warn of further earthquakes and ...",2024-01-23 20:17:20.824612
/watch?v=d4uTzGHtzxo&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@NBCNews,NBC News,Japan searching for earthquake survivors as death toll rises,266K,2 weeks,"NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news ...",2024-01-23 20:17:20.828437
/watch?v=S1WZFp1LVJ8&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@livenowfox,LiveNOW from FOX,"Earthquakes in Astoria NY, Japan: 1.7 magnitude quake strikes in Queens, death toll rises in Japan",279K,3 weeks,"Japan earthquakes left at least 55 people dead and left behind a scene of damaged buildings, cars and boats. Aftershocks ...",2024-01-23 20:17:20.832523
/watch?v=M8MyD_tobP8&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@dwnews,DW News,Rescuers 'battle against time' after series of earthquakes hit Japan | DW News,489K,3 weeks,"Search and rescue operations were underway in Japan on Tuesday after Ishikawa Prefecture, in the Noto region along the Sea of ...",2024-01-23 20:17:20.835867
/watch?v=-IC8DNACaec&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@NHKWORLDJAPAN,NHK WORLD-JAPAN,Japan earthquake: Survivors under pressureーNHK WORLD-JAPAN NEWS,21K,6 days,"Survivors of the Noto quake try to keep their spirits up as temperatures fall, while new data shows many visitors were caught up in ...",2024-01-23 20:17:20.838962
/watch?v=EmywIBGP_Us&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@dailymail,Daily Mail,Japan: Moment powerful earthquake rocks train station,414K,3 weeks,An eyewitness captured scenes in a train station in Japan's Kanazawa city on Monday January 1 after a massive earthquake with ...,2024-01-23 20:17:20.841669
/shorts/bBgMmkgtFpI,/@mojostory,Mojo Story,Japan Tsunami after Earthquake I Dramatic Images,32K,3 weeks,Japan's coast has been hit by a Tsunami after a massive earthquake earlier today on the first day of the new year #Japan ...,2024-01-23 20:17:20.846172
/watch?v=m1KIWAwcKYo&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@inquirerdotnet,INQUIRER.net,Japan in 'battle against time' to rescue New Year's Day quake survivors | INQToday,235K,3 weeks,Japan is struggling to asses the extent of damage from a massive earthquake that struck its west coast on New Year's day.,2024-01-23 20:17:20.849299
/watch?v=PROgwkJcuuE&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@guardiannews,Guardian News,Strong earthquakes hit Japan's west coast,236K,3 weeks,Footage circulating on social media showed shaking inside shops and a railway station. NHK TV warned torrents of water could ...,2024-01-23 20:17:20.853551
/watch?v=cHkfxuKVkMA&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@aljazeeraenglish,Al Jazeera English,"Magnitude 7.4 earthquake strikes Japan, tsunami warning issued",400K,3 weeks,Japan has issued tsunami alerts after a series of strong earthquakes shook western areas. The Japan Meterological Agency ...,2024-01-23 20:17:20.858557
/watch?v=zF34xS0fjF8&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@channelnewsasia,CNA,At least 8 dead after 7.6-magnitude earthquake strikes Japan,71K,3 weeks,At least 8 people were killed after a 7.6-magnitude earthquake struck central Japan on New Year's Day. All 8 deaths so far were ...,2024-01-23 20:17:20.862026
/watch?v=NroDcXKqTzA&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@globalnews,Global News,Japan earthquake: Heartbroken cat owner searches for lost pets after disaster,209K,2 weeks,"A century-old workshop, renowned worldwide for its traditional lacquerware, lay in smouldering ruins following a devastating ...",2024-01-23 20:17:20.865250
/watch?v=kUNqcn5ta18&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@NHKWORLDJAPAN,NHK WORLD-JAPAN,"Japan earthquake: One week on, survivors assess the damageーNHK WORLD-JAPAN NEWS",24K,2 weeks,"One week after the Noto Peninsula Earthquake, the extent of the damage is becoming clear. Survivors are voicing concerns about ...",2024-01-23 20:17:20.868353
/watch?v=0muwjFbq_Og&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@AFP,AFP News Agency,Powerful earthquake hits central Japan | AFP,52K,3 weeks,"A powerful 7.5-magnitude earthquake hits central Japan, damaging homes, setting off a major fire, closing highways and causing ...",2024-01-23 20:17:20.871566
/watch?v=T-hrjnU90dE&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@dwnews,DW News,How devastating were the New Year's Day earthquakes in Japan? | DW News,382K,2 weeks,Japan has reinforced crews working to find survivors of the devastating New Year's Day earthquakes. The confirmed death toll ...,2024-01-23 20:17:20.874996
/watch?v=iDyp04osYMo&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@11Alive,11Alive,Major earthquake strikes China | What we know,27K,22 hours,The U.S. Geological Survey says the quake was the largest to hit the area since 1978.,2024-01-23 20:17:20.878419
/watch?v=kBX-Kp4rR-c&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@aljazeeraenglish,Al Jazeera English,First scenes as strong earthquakes and tsunami waves hit Japan | Al Jazeera NewsFeed,231K,3 weeks,"These are the first moments a series of strong earthquakes struck Japan, triggering tsunami waves which have begun hitting ...",2024-01-23 20:17:20.881745
/watch?v=sVZnSrJIbeg&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@11Alive,11Alive,Earthquake in Japan | Raw videos,306K,3 weeks,"Video via NBC News Channel / RTV / Fangrao Li / @_gingiraginchan. A series of quakes hit off the coast of Ishika in Japan, with ...",2024-01-23 20:17:20.884967
/watch?v=A5wtX8zpcbI&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@cnnnews18,CNN-News18,Japan Earthquake | Eyewitness Account Of The Japanese Tsunami | N18V | Japan News | News18,1.6M,3 weeks,Japan Earthquake | Eyewitness Account Of The Japanese Tsunami | N18V | News18 Strong earthquake of magnitude 7.6 hits ...,2024-01-23 20:17:20.888249
/watch?v=c892_2rxgPk&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@SkyNews,Sky News,Japan earthquake: At least 55 people killed,43K,3 weeks,The confirmed number of dead from the Japan earthquakes has risen by seven to 55. Aftershocks continued to shake Ishikawa ...,2024-01-23 20:17:20.891753
/watch?v=c0uFta6H8BQ&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@inquirerdotnet,INQUIRER.net,"Massive earthquake jolts Japan, triggering tsunami warnings  | INQToday",354K,3 weeks,"A massive earthquake with a preliminary magnitude of 7.6 hit Central Japan on Monday, triggering a tsunami warning.",2024-01-23 20:17:29.567787
/watch?v=Ip7mBgTQySk&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@timesofindia,Times Of India,Japan Earthquake 2024 | Why is Japan Prone to Earthquakes & Tsunamis? | Explained | World News,9.7K,2 weeks,"Japan, facing up to 2000 earthquakes annually due to its Geographical location along the Pacific Ring of Fire. Japan experiences ...",2024-01-23 20:17:29.571230
/watch?v=pUg_1v1UNjs&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@NHKWORLDJAPAN,NHK WORLD-JAPAN,Japan earthquake: Moving forward after disasterーNHK WORLD-JAPAN NEWS,13K,5 days,The powerful quakes on New Year's Day also caused serious damage in nearby Toyama prefecture. About 40 facilities inns and ...,2024-01-23 20:17:29.573126
/watch?v=cvo_SCe8rXw&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@Firstpost,Firstpost,"Japan Earthquake: 30 Dead, Over A Hundred Trapped Under Rubble; PM Declares ""Battle Against Time""",282K,3 weeks,"Japan Earthquake: 30 Dead, Over A Hundred Trapped Under Rubble; PM Declares ""Battle Against Time"" A total of 155 ...",2024-01-23 20:17:29.574539
/watch?v=u6PRHwwZE_o&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@BBCNews,BBC News,Japan downgrades major tsunami warning after earthquakes - BBC News,420K,3 weeks,Japan has downgraded its tsunami warning after a 7.6 magnitude earthquake struck the central region. The major warning - the ...,2024-01-23 20:17:29.577337
/watch?v=GmhUphuMUGI&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@dailymail,Daily Mail,Devastating drone footage shows earthquake and tsunami damage in Japan,182K,3 weeks,Devastating aerial footage shows earthquake and tsunami damage in Japan. #dailymail #tsunami #earthquake #japan Daily Mail ...,2024-01-23 20:17:29.581597
/watch?v=FZTNR5bkLbQ&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@abscbnnews,ABS-CBN News,Aerial footage reveals earthquake and tsunami damage in Japan | ABS-CBN News,936K,3 weeks,Aerial footage revealed the extent of the damage caused by a magnitude 7.6 earthquake that struck central Japan on Monday ...,2024-01-23 20:17:29.584289
/watch?v=OdxroxQkxAY&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@cnnnews18,CNN-News18,"Japan Earthquake News | 155 Jolts Recorded, Tsunami Warnings Lifted; Death Toll Reaches 48 | N18V",880K,3 weeks,Japan has been hit by 155 earthquakes since Monday including the main 7.6-magnitude jolt that struck Ishikawa and another over ...,2024-01-23 20:17:29.587567
/watch?v=F9dyZUHa9Ws&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@timesofindia,Times Of India,Japan Earthquake: Tsunami hits coastal areas as  massive quake jolts western regions,389K,3 weeks,"Japan experienced a potent 7.4-magnitude earthquake, as reported by the USGS. Japanese authorities issued a tsunami warning ...",2024-01-23 20:17:29.591002
/watch?v=NIUFq7nsRoE&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@cnnnews18,CNN-News18,Japan Earthquake News | Japan Shaken After Massive Earthquake | Japan Earthquake Footage News | N18V,216K,3 weeks,"A powerful earthquake hit the Noto region of central Japan on Monday, triggering tsunami warnings and evacuation orders in ...",2024-01-23 20:17:29.594273
/watch?v=PXPaVZ5DpTw&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@SkyNews,Sky News,Japan earthquake: Wajima City unrecognisable as window for finding survivors narrows,156K,2 weeks,"In the city of Wajima, homes have been reduced to rubble after a 7.6 magnitude quake hit Japan on New Year's Day. It is one of ...",2024-01-23 20:17:29.597528
/watch?v=pB8uWYLmH0I&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@oneindia,Oneindia News,Watch| When cameras captured the 7.6 Magnitude Quake in Central Japan on Jan 1| Oneindia News,368K,3 weeks,"A powerful 7.6 magnitude earthquake struck Japan's Noto Peninsula and surrounding regions on New Year's Day, confirming 24 ...",2024-01-23 20:17:29.600902
/watch?v=nR10xqtcTys&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@dwnews,DW News,Japan braces for more tremors after powerful earthquake | DW News,247K,3 weeks,Japan is bracing for more aftershocks after a series of earthquakes triggered the highest level tsunami warning. Officials say the ...,2024-01-23 20:17:29.603830
/watch?v=Vu_lZAWTOiM&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@oneindia,Oneindia News,Watch | The moment when Japan was Hit by Strong Earthquakes: Tsunami Warnings Issued | Oneindia,236K,3 weeks,A series of strong earthquakes struck Japan on Monday. Authorities issued tsunami warnings and advisories for people on the ...,2024-01-23 20:17:29.606772
/watch?v=zFKwL4UJAJY&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@CBSNewYork,CBS New York,Dozens killed in 7.6 magnitude earthquake in Japan,205K,2 weeks,"Scenes of devastation emerged Tuesday, one day after a 7.6 magnitude earthquake shook western Japan, killing dozens of ...",2024-01-23 20:17:29.609723
/watch?v=5fU9-jHNTqE&pp=ygUVamFwYW4gMjAyNCBlYXJ0aHF1YWtl,/@NBCNews,NBC News,Japan rocked by powerful 7.6 magnitude earthquake,346K,3 weeks,"After a powerful 7.6 magnitude earthquake hit Japan, officials say at least four people are dead, with rescuers searching the ...",2024-01-23 20:17:29.614363
